ID,开仓时间,平仓时间,策略,币种,方向,交易所,触发所,入场价,出场价,仓位U,盈亏U,盈亏bps,持仓ms,出场原因,异常bps,开仓spread,正常spread,详情
1,,,A_摆盘,SOL/USDT,short,bitget,binance,82.039795,81.849184,100.00,0.132456,13.25,501,A_摆盘收敛,13.95,0.00,0.00,binance->bitget ↓7.9bps 异常:7.9bps 总:8.5bps 基准:-0.5bps 净边际:-3.1bps bid_gap:-3.5 ask_gap:3.7
2,,,A_摆盘,ETH/USDT,short,bitget,binance,2197.780200,2198.229801,100.00,-0.120467,-12.05,1503,A_弱势退出,15.90,0.00,0.00,binance->bitget ↓6.3bps 异常:14.5bps 总:18.2bps 基准:-3.7bps 净边际:3.5bps bid_gap:-10.0 ask_gap:10.0
3,,,A_摆盘,ETH/USDT,short,bitget,okx,2197.780200,2198.229801,100.00,-0.120467,-12.05,1500,A_弱势退出,17.56,0.00,0.00,okx->bitget ↓5.6bps 异常:17.6bps 总:20.6bps 基准:-3.0bps 净边际:6.6bps bid_gap:-14.3 ask_gap:14.3
4,,,A_摆盘,BTC/USDT,long,bitget,okx,71096.808970,71082.491040,100.00,-0.120129,-12.01,1505,A_弱势退出,13.74,0.00,0.00,okx->bitget ↑6.4bps 异常:13.7bps 总:20.3bps 基准:6.5bps 净边际:2.7bps bid_gap:11.1 ask_gap:-11.1
5,,,A_摆盘,SOL/USDT,long,bitget,okx,81.968196,81.950804,100.00,-0.121207,-12.12,1501,A_弱势退出,21.96,0.00,0.00,okx->bitget ↑10.9bps 异常:22.0bps 总:58.0bps 基准:36.1bps 净边际:11.0bps bid_gap:36.8 ask_gap:-36.7
6,,,A_摆盘,ETH/USDT,long,bitget,okx,2198.229801,2197.780200,100.00,-0.120443,-12.04,1506,A_弱势退出,23.57,0.00,0.00,okx->bitget ↑5.8bps 异常:23.6bps 总:40.5bps 基准:17.0bps 净边际:12.6bps bid_gap:25.7 ask_gap:-25.6
7,,,A_摆盘,SOL/USDT,long,bitget,okx,81.968196,81.950804,100.00,-0.121207,-12.12,1504,A_弱势退出,14.64,0.00,0.00,okx->bitget ↑9.7bps 异常:14.6bps 总:69.0bps 基准:54.4bps 净边际:3.6bps bid_gap:44.9 ask_gap:-44.7
8,,,A_摆盘,SOL/USDT,long,bitget,binance,81.968196,81.950804,100.00,-0.121207,-12.12,1500,A_弱势退出,15.25,0.00,0.00,binance->bitget ↑5.5bps 异常:10.4bps 总:73.3bps 基准:62.9bps 净边际:-0.6bps bid_gap:51.9 ask_gap:-51.8
9,,,A_摆盘,BTC/USDT,long,bitget,okx,71096.808970,71082.491040,100.00,-0.120129,-12.01,1506,A_弱势退出,13.04,0.00,0.00,okx->bitget ↑5.2bps 异常:13.0bps 总:32.4bps 基准:19.4bps 净边际:2.0bps bid_gap:19.5 ask_gap:-19.5
10,,,A_摆盘,BTC/USDT,short,bitget,okx,71082.491040,71096.808970,100.00,-0.120153,-12.02,1501,A_弱势退出,20.19,0.00,0.00,okx->bitget ↓5.5bps 异常:20.2bps 总:0.5bps 基准:19.7bps 净边际:9.2bps bid_gap:-2.5 ask_gap:2.5
11,2026-04-13 10:25:20,2026-04-13 10:25:21,A_摆盘,ETH/USDT,long,bitget,bybit,2200.099988,2202.679710,100.00,0.017196,1.72,627,A_摆盘收敛,13.91,0.00,0.00,bybit->bitget ↑5.5bps 异常:10.9bps 总:8.6bps 基准:-2.3bps 净边际:-0.1bps bid_gap:7.7 ask_gap:-7.6
13,2026-04-13 11:04:55,2026-04-13 11:04:56,A_摆盘,ETH/USDT,long,bitget,bybit,2190.439022,2189.990979,100.00,-0.120444,-12.04,1502,A_弱势退出,14.43,0.00,0.00,bybit->bitget ↑5.5bps 异常:14.4bps 总:11.9bps 基准:-2.5bps 净边际:3.4bps bid_gap:8.0 ask_gap:-7.9
12,2026-04-13 11:04:54,2026-04-13 11:04:56,A_摆盘,BTC/USDT,long,bitget,bybit,70970.696360,70956.403650,100.00,-0.120129,-12.01,1628,A_弱势退出,16.01,0.00,0.00,bybit->bitget ↑5.4bps 异常:16.0bps 总:14.7bps 基准:-1.3bps 净边际:5.0bps bid_gap:9.1 ask_gap:-9.1
14,2026-04-13 11:05:00,2026-04-13 11:05:02,A_摆盘,SOL/USDT,long,bitget,okx,81.816181,81.798819,100.00,-0.121210,-12.12,1772,A_弱势退出,16.01,0.00,0.00,okx->bitget ↑6.1bps 异常:16.0bps 总:15.6bps 基准:-0.4bps 净边际:5.0bps bid_gap:10.3 ask_gap:-10.2
15,2026-04-13 11:05:00,2026-04-13 11:05:02,A_摆盘,ETH/USDT,long,bitget,okx,2190.439022,2189.990979,100.00,-0.120444,-12.04,1774,A_弱势退出,16.80,0.00,0.00,okx->bitget ↑5.7bps 异常:16.8bps 总:16.1bps 基准:-0.7bps 净边际:5.8bps bid_gap:11.2 ask_gap:-11.2
16,2026-04-13 11:05:00,2026-04-13 11:05:02,A_摆盘,BTC/USDT,long,bitget,okx,70970.696360,70956.403650,100.00,-0.120129,-12.01,1860,A_弱势退出,19.02,0.00,0.00,okx->bitget ↑7.4bps 异常:19.0bps 总:19.1bps 基准:0.1bps 净边际:8.0bps bid_gap:12.3 ask_gap:-12.3
17,2026-04-13 14:18:37,2026-04-13 14:18:37,A_摆盘,SOL/USDT,long,bitget,okx,82.062205,82.175782,100.00,0.038333,3.83,501,A_摆盘收敛,16.88,0.00,0.00,okx->bitget ↑17.1bps 异常:16.9bps 总:16.1bps 基准:-0.8bps 净边际:5.9bps bid_gap:12.1 ask_gap:-12.0
18,2026-04-14 10:10:48,2026-04-14 10:10:49,A_摆盘,SOL/USDT,long,bitget,binance,85.932592,86.147384,100.00,0.149829,14.98,501,A_摆盘收敛,14.84,0.00,0.00,binance->bitget ↑7.6bps 异常:8.4bps 总:12.5bps 基准:4.0bps 净边际:-2.6bps bid_gap:6.7 ask_gap:-6.5
